CyberTruck15 (UnityEngine.Transform);1;19,42;1
CyberTruck6 (UnityEngine.Transform);1;20,06;1
CyberTruck9 (UnityEngine.Transform);1;20,1;1
CyberTruck23 (UnityEngine.Transform);1;20,12;1
CyberTruck22 (UnityEngine.Transform);1;20,14;1
CyberTruck14 (UnityEngine.Transform);1;20,18;1
CyberTruck27 (UnityEngine.Transform);1;20,34;1
CyberTruck20 (UnityEngine.Transform);1;20,66;1
CyberTruck25 (UnityEngine.Transform);1;20,96;1
CyberTruck2 (UnityEngine.Transform);1;21,08;1
CyberTruck4 (UnityEngine.Transform);1;21,54;1
CyberTruck17 (UnityEngine.Transform);1;24,34;1
CyberTruck26 (UnityEngine.Transform);1;24,54;1
CyberTruck3 (UnityEngine.Transform);1;25,1;1
CyberTruck23 (UnityEngine.Transform);2;14,52;2
CyberTruck22 (UnityEngine.Transform);2;16;2
CyberTruck10 (UnityEngine.Transform);1;17,44653;2
CyberTruck1  (UnityEngine.Transform);1;17,68653;2
CyberTruck2 (UnityEngine.Transform);2;16,04;2
CyberTruck14 (UnityEngine.Transform);2;18,24;2
CyberTruck13 (UnityEngine.Transform);1;18,48;2
CyberTruck24 (UnityEngine.Transform);1;21,52766;2
CyberTruck21 (UnityEngine.Transform);1;18,12;2
CyberTruck8 (UnityEngine.Transform);1;20,72;2
CyberTruck5 (UnityEngine.Transform);1;21,38522;2
CyberTruck11 (UnityEngine.Transform);1;22,78522;2
CyberTruck15 (UnityEngine.Transform);1;17,65003;3
CyberTruck20 (UnityEngine.Transform);1;19,52;3
CyberTruck27 (UnityEngine.Transform);1;20,72495;3
CyberTruck18 (UnityEngine.Transform);1;19,54;3
CyberTruck2 (UnityEngine.Transform);3;15,24;3
CyberTruck6 (UnityEngine.Transform);1;18,16;3
CyberTruck16 (UnityEngine.Transform);1;17,96;3
CyberTruck24 (UnityEngine.Transform);2;16,6;3
CyberTruck13 (UnityEngine.Transform);2;18,64;3
CyberTruck26 (UnityEngine.Transform);1;18,34745;3
CyberTruck12 (UnityEngine.Transform);1;19,51231;3
CyberTruck7 (UnityEngine.Transform);1;23,0594;3
CyberTruck5 (UnityEngine.Transform);2;18,1;3
CyberTruck3 (UnityEngine.Transform);1;23,8194;3
CyberTruck20 (UnityEngine.Transform);2;13,24;4
CyberTruck22 (UnityEngine.Transform);1;20,70503;4
CyberTruck14 (UnityEngine.Transform);1;18,78661;4
CyberTruck10 (UnityEngine.Transform);1;18,04877;4
CyberTruck19 (UnityEngine.Transform);1;18,48;4
CyberTruck27 (UnityEngine.Transform);2;15,14;4
CyberTruck9 (UnityEngine.Transform);1;18,52937;4
CyberTruck1  (UnityEngine.Transform);1;18,16;4
CyberTruck11 (UnityEngine.Transform);1;18,04675;4
CyberTruck15 (UnityEngine.Transform);1;18,20675;5
CyberTruck17 (UnityEngine.Transform);1;19,76937;4
CyberTruck8 (UnityEngine.Transform);1;21,44937;4
CyberTruck16 (UnityEngine.Transform);2;13,6;4
CyberTruck6 (UnityEngine.Transform);2;18,34;4
CyberTruck2 (UnityEngine.Transform);4;18,5;4
CyberTruck7 (UnityEngine.Transform);2;14,96;4
CyberTruck21 (UnityEngine.Transform);1;17,58003;5
CyberTruck10 (UnityEngine.Transform);2;16,54;5
CyberTruck13 (UnityEngine.Transform);1;18,7357;5
CyberTruck1  (UnityEngine.Transform);2;15,36;5
CyberTruck4 (UnityEngine.Transform);1;18,25126;5
CyberTruck3 (UnityEngine.Transform);1;17,79556;5
CyberTruck2 (UnityEngine.Transform);5;13,75999;5
CyberTruck5 (UnityEngine.Transform);1;19,79126;5
CyberTruck20 (UnityEngine.Transform);1;19,89126;6
CyberTruck16 (UnityEngine.Transform);3;16,48;5
CyberTruck18 (UnityEngine.Transform);1;18,94;5
CyberTruck26 (UnityEngine.Transform);1;18,48503;5
CyberTruck15 (UnityEngine.Transform);1;17,88937;7
CyberTruck22 (UnityEngine.Transform);1;18,78937;6
CyberTruck24 (UnityEngine.Transform);1;21,72504;5
CyberTruck10 (UnityEngine.Transform);3;14,22;6
CyberTruck1  (UnityEngine.Transform);3;14,57999;6
CyberTruck21 (UnityEngine.Transform);1;19,8196;7
CyberTruck17 (UnityEngine.Transform);1;21,34562;6
CyberTruck6 (UnityEngine.Transform);1;19,85325;6
CyberTruck8 (UnityEngine.Transform);1;18,54;6
CyberTruck26 (UnityEngine.Transform);2;14,9;6
CyberTruck14 (UnityEngine.Transform);1;21,59325;7
CyberTruck16 (UnityEngine.Transform);4;20,34;6
CyberTruck3 (UnityEngine.Transform);1;18,2775;7
CyberTruck4 (UnityEngine.Transform);1;19,85178;7
CyberTruck25 (UnityEngine.Transform);1;20,52976;6
CyberTruck1  (UnityEngine.Transform);4;14,14;7
CyberTruck2 (UnityEngine.Transform);1;18,02236;7
CyberTruck5 (UnityEngine.Transform);1;18,04236;7
CyberTruck18 (UnityEngine.Transform);1;19,44236;7
CyberTruck9 (UnityEngine.Transform);1;19,84148;7
CyberTruck20 (UnityEngine.Transform);1;19,17284;8
CyberTruck13 (UnityEngine.Transform);1;18,28;7
CyberTruck16 (UnityEngine.Transform);5;14,82;7
CyberTruck10 (UnityEngine.Transform);1;18,83009;8
CyberTruck15 (UnityEngine.Transform);1;23,10729;9
CyberTruck14 (UnityEngine.Transform);2;17,18;8
CyberTruck24 (UnityEngine.Transform);1;19,14;7
CyberTruck23 (UnityEngine.Transform);1;19,59628;8
CyberTruck3 (UnityEngine.Transform);2;16,88;8
